Button,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4
1,04,cycles,40,0D,1C
2,04,cycles,40,0D,0B
3,04,cycles,40,4D,07
4,04,cycles,40,4D,00
5,04,cycles,40,4D,01
6,04,cycles,40,0D,1D
7,04,cycles,40,0D,05
8,04,cycles,40,0D,0E
9,04,cycles,40,0D,0D
10,04,cycles,40,4D,06
11,04,cycles,40,0D,00
12,04,cycles,40,4D,02
13,04,cycles,40,0D,10
14,04,cycles,40,0D,1B
15,04,cycles,40,0D,0F
16,04,cycles,40,0D,0C
17,04,cycles,40,4D,05
18,04,cycles,40,4D,04
19,04,cycles,40,4D,03
20,04,cycles,40,0D,0A
21,04,cycles,40,0D,06
22,No Response,No Response,No Response,No Response,No Response
23,04,cycles,40,0D,20
24,04,cycles,40,0D,01
25,04,cycles,40,0D,02
26,Hazards,Hazards,Hazards,Hazards,Hazards
27,No Response,No Response,No Response,No Response,No Response
28,No Response,No Response,No Response,No Response,No Response
29,04,cycles,40,0D,11
30,04,cycles,40,0D,03
31,04,cycles,40,0D,15
32,04,cycles,40,0D,12
33,04,cycles,40,0D,04
34,04,cycles,40,0D,05
35,04,cycles,40,0D,08
36,04,cycles,40,0D,09
37,04,cycles,40,0D,06
38,04,cycles,40,0D,07
39,Disk Eject,Disk Eject,Disk Eject,Disk Eject,Disk Eject
40,04,cycles,40,2D,0A
41,04,cycles,40,2D,05
42,04,cycles,40,2D,03
43,04,cycles,40,2D,08
44,04,cycles,40,2D,14
45,04,cycles,40,2D,06
46,04,cycles,40,2D,0B
47,No Response,No Response,No Response,No Response,No Response
48,04,cycles,40,2D,0F
49,04,cycles,40,2D,07